,sentence1,sentence2,label
0,喜欢打篮球的男生喜欢什么样的女生,爱打篮球的男生喜欢什么样的女生,1
1,我手机丢了，我想换个手机,我想买个新手机，求推荐,1
2,大家觉得她好看吗,大家觉得跑男好看吗？,0
3,求秋色之空漫画全集,求秋色之空全集漫画,1
4,晚上睡觉带着耳机听音乐有什么害处吗？,孕妇可以戴耳机听音乐吗?,0
5,学日语软件手机上的,手机学日语的软件,1
6,打印机和电脑怎样连接，该如何设置,如何把带无线的电脑连接到打印机上,0
7,侠盗飞车罪恶都市怎样改车,侠盗飞车罪恶都市怎么改车,1
8,什么花一年四季都开,什么花一年四季都是开的,1
9,看图猜一电影名,看图猜电影！,1
10,这上面写的是什么？,胃上面是什么,0
11,建议您重新注册，辛苦您了。,可以的，您注销成功后，可以重新注册的，辛苦您了。,0
12,"小草有什么的特点,可以象征什么?",小草有什么特点可以象征什么,1
13,校验失败了，,您好，您还是访客状态呢,0
14,尼玛什么意思,尼玛啊是什么意思？,0
15,自找苦吃的地方是哪儿？,自找苦吃的地方是哪儿,1
16,尾号4位多少,尾号是多少后4位,1
17,谢文东能在哪里看,谢文东在哪里看,1
18,新概念英语第二册练习册41课答案,新概念英语第二册练习册21练习答案,0
19,过年送礼送什么好,过年前什么时候送礼？,0
20,壮丁是什么生肖,欲钱买壮丁指的是什么生肖？,0
21,这是什么蔬菜啊,这是什么蔬菜呀？,1
22,最近有什么好电视剧看？,现在看电影都是有哪些号网站啊,0
23,性与爱有什么区别？,性与爱有什么区别,1
24,网上卖的烟有真的吗？,网上帮你刷钻是真的吗,0
25,什么印象,什么印象了,1
26,面相上看，耳垂上有痣代表什么？,男性耳朵上长痣代表什么（耳垂这里）,0
27,男生喜欢女生送他什么礼物呢,男生最喜欢女生送什么礼物,1
28,如何快速忘记一个人,怎样能快速忘记一个人,1
29,周杰伦女友是谁,周杰伦的现女友是谁,1
30,月初和月末是会出现这个延迟的情况的，小二建议您耐心等待一下,因周六周日不属于工作日所以建议您耐心等待,0
31,支付宝手机支付密码是什么,支付宝里手机支付密码是什么,1
32,关于网页设计的问题,关于网页设计的一个问题,1
33,有没有专门为房地产行业做咨询的公司啊？,国内咨询公司中哪家的房地产咨询做的比较好啊？,0
34,这系列的漫画叫什么名字,这个系列的漫画叫什么名字？,1
35,无线路由器怎么无线上网,无线上网卡和无线路由器怎么用,0
36,左眼皮跳是什么原因,女的右眼皮跳是什么原因啊？,0
37,部落战争怎么更新？,部落战争，怎样更新,1
38,这个空气净化器有用吗？,空气刘海是怎么样的,0
39,看图猜成语，这是什么？,【看图猜成语】请问这个是？,1
40,找工作网站哪个好？,找工作哪个网站好,1
41,问发型，男生。,关于男生发型,1
42,安卓手机怎么设置来电自动接听,三星手机怎么自动接听,1
43,部落冲突游戏怎么找回,部落冲突重置游戏,0
44,怎么才能下载穿越火线,穿越火线的挂怎么下载,0
45,你点击详情,您点击详情,1
46,我要找一个人怎么找,我要找一个人,1
47,中国四大古城是哪些？,中国的四大古城有哪些?5,1
48,脸上痣太多怎么办？,脸上痣太多怎么办,1
49,福州哪家装修公司好,转运公司哪家好,0
50,请问下这是什么表情,请问这个表情叫什么？,1
51,大限什么意思,微淘什么意思,0
52,名人理财小故事几则,投资理财的小故事,0
53,奔跑吧兄弟里的,奔跑吧兄弟主题曲！,0
54,宝盖头的字与什么有关,河水像什么有关的字,0
55,下雪了，房子像什么？,下雪了，房子像什么,1
56,一本官场小说的名字？,我想找一本小说名字叫什么骨,0
57,求恋爱棱镜漫画,求恋爱棱镜的漫画。,1
58,类似于植物大战僵尸的游戏有哪些,有哪些游戏和植物大战僵尸类似,1
59,这是什么动画啊,这是什么动画，叫什么,1
60,日本爱情吻戏动漫,哪部韩剧吻戏最多,0
61,哪位亲有东方神起塞班岛的写真辑啊？,这张图是东方神起在哪里的写真,0
62,石家庄天气如何？,石家庄天气怎样,1
63,中国哪里的地方最美,中国最美丽的地方再那里,1
64,追女孩该怎么追？,追女孩要怎么追,1
65,高中数学问题，数列,高中数学，数列问题。,1
66,劝告你不听是什么成语,只要不听劝告是什么成语带一的,1
67,支付宝为什么不能实名认证,为什么不能支付宝实名认证？,1
68,小尾巴怎么设置,贴吧里的小尾巴怎么设置？,1
69,麻烦您点击链接看看的，辛苦您了。,您点击账户通-我的银行卡-添加就可以的，辛苦您了。,0
70,罗志祥的发型叫什么,罗志祥的发型叫什么？,1
71,红豆薏米粥减肥靠谱吗,红豆薏米粥能减肥吗,1
72,大写的万字，怎么写？,大写万字怎么写？,1
73,网易新闻和腾讯新闻哪个强,腾讯新闻和网易新闻哪个好,1
74,这边给您发送，您从新操作一下可以吗？,您好，您的这个红包是只能在这个给您发送红包的商家使用的，麻烦了。,0
75,游戏王混沌力量城之内篇全卡下载,游戏王之混沌力量-城之内篇汉化版,0
76,苹果手机怎么截图啊,苹果手机怎么截图？,1
77,张翰和郑爽是为什么分手？！﹏,张翰和郑爽为什么分手,1
78,上海哪里有卖纹身,上海哪里洗纹身好,0
79,你们心目中的女神什么样？,你们心目中的女神是怎样的？,1
80,头发干燥怎么办？发质很差。,发质差怎么办，而且很毛躁？,0
81,月经期可以喝中药吗,酸奶加红糖怎么喝才能减肥,0
82,喝绿茶有什么好处！,喝绿茶有什么好处？,1
83,微信公众平台怎么盈利？,微信公众平台如何盈利？,1
84,描写水的四字词语,含反义词的四字词语,0
85,淘宝的拍卖保证金,淘宝拍卖保证金,1
86,求《天空之城》吉他谱！六线谱，简单点,求《天空之城》原版吉他谱,0
87,去哪儿网特价机票怎样订,去哪儿特价机票,1
88,明天上海天气怎么样,明天上海天气怎么样。,1
89,湖北生态工程职业技术学院好不好？,湖北生态工程职业技术学院的环境怎么样？,0
90,辛苦您把页面截图一下，谢谢。,感谢您的耐心等待，麻烦您把收银台付款页面截图提供下，辛苦您了。,0
91,手机铃声怎么下载,手机铃声怎样下载,1
92,如没有其他的问题小二这边就不打扰您了,好的，请问需要帮您一并清空安保问题的吗？,0
93,老版本的天天酷跑怎么下载,怎样下载天天酷跑老版本,1
94,怎样可以让肚子变小？,怎样让肚子变小？,1
95,蜡烛的英语单词怎么读音标是什么,怎么看音标把英语单词读出来啊,0
96,您说下时间哦,排队时间在1分钟足有,0
97,大陆女明星谁最漂亮？,大陆女明星谁最漂亮,1
98,容易的易还可以组什么词？,养什么鱼不容易死？,0
99,时空猎人腾讯版怎么刷龙影,时空猎人腾讯版怎么刷vip,1
100,白猫计划怎么退出公会？,DNF公会升级怎么不送东西,0
101,现在来说什么行业最挣钱？,现在什么行业最挣钱？,1
102,黑人生殖器为什么那么长,黑人的生殖器为什么那么长,1
103,现在做淘宝还能挣钱吗,现在开淘宝店，还挣钱吗,1
104,怎么查通话记录,怎么查别人通话记录,1
105,梦见抱小女孩,梦见抱别人小小女孩,0
106,小青蛙过河怎么,小青蛙过河怎样过,1
107,分式的运算一,分式的运算！,1
108,我老婆偷人了我该怎么办,老婆偷人我该怎么办！,1
109,芜湖职业技术学院和安徽财贸职业学院哪个好？,安徽职业技术学院和安徽财贸职业学院哪个好?,0
110,唐诗宋词元曲和什么的？,唐诗宋词元曲汉什么,1
111,头晕胸闷恶心是什么病,头晕胸闷犯恶心是什么病,1
112,自己的提问怎么删除,怎么删除自己发的提问,1
113,黑白的情侣头像,情侣头像黑白类,1
114,您好，邮件会通知您的。辛苦您等待下,辛苦您等待下的，辛苦您了。,0
115,什么牌子的小米粉好？,什么牌子的米粉好,0
116,男科疾病有哪些？,世界遗产有哪些？,0
117,怎样保护青蛙,保护青蛙怎么样,0
118,朋友过生日唱什么歌,朋友过生日送他什么歌,0
119,山西工商学院怎么样,山西工商学院怎么样？,1
120,北京烤鸭在哪,关于北京烤鸭,1
121,这个人物出自哪部动漫？,这个人物出自哪部动漫,1
122,微信表情都代表什么意思,微信表情代表什么意思,1
123,女孩子叫我欧巴是什么意思,很要好的女生叫我爸爸…这是什么意思？,0
124,幸福花园的全集动漫谁有呀,谁有幸福花园动漫全集？,1
125,微信听筒模式怎么关,微信怎么改听筒模式,1
126,最果ての神狐的种子。,跪求あずみ恋迅雷种子,0
127,老公过生日做什么菜怎么样,男朋友生日做什么菜好,0
128,很讨厌一个人,韩国人很讨厌日本人吗,0
129,天上的小白羊，指的是什么？,天上的小白羊，指的是什么,1
130,你表情搞笑吗？,找一些搞笑的表情,0
131,求幸福花园全集下载,求幸福花园全集下载。、,1
132,宝宝喝什么奶粉比较好,给宝宝喝什么奶粉比较好？,1
133,“客观”“主观”分别是什么意思？,主观与客观分别是什么意思,1
134,你喜欢什么星座的,喜欢什么星座男,0
135,这是什么牌子香水,这是哪个牌子的香水,1
136,东莞哪里有草莓园,东莞哪里有草莓场？,1
137,思春是什么意思嘛,思春是什么意思？,1
138,什么海鲜好吃？,什么海鲜好吃啊,1
139,秦始皇是哪个朝代的,秦始皇是哪个朝代的？,1
140,什么是安徽的简称,安徽简称什么？,1
141,陈坤和赵薇怎么了,陈坤赵薇怎么了,1
142,买理财产品有风险吗,买理财有风险吗,1
143,推荐几个下载电影的网站,可下载的电影网站推荐,1
144,填成语看图片,这个图片的成语,1
145,紧的偏旁是什么,汞是由汞分子组成的对吗,0
146,今天七夕你们怎么过？,今天七夕你们怎么过的,1
147,如何做生意赚钱…？啊,怎样做生意才会赚钱呢,1
148,百度上的财富值有什么用,百度财富值有什么用啊?,1
149,谁知道这图片叫什么？,谁有这个图片或者知道她是谁,0
150,怎么用手机下载日语输入法,手机日语输入法下载,0
151,夏天吃什么水果可以排毒,夏天吃什么水果能起到减肥的功效呢,0
152,灰太狼的梦想是什么呢,灰太狼的梦想是什么,1
153,做会计在房地产与制造业哪个好？,在外贸公司做会计好还是房地产作会计好？,0
154,百度一下你不知道,百度一下你就知道是谁说的,0
155,我家兔子是不是怀孕了?,我家兔子怀孕后摸不到胎儿,1
156,是的呢，请您以页面的显示为准的,请您到时以页面的显示为准的,1
157,是已经在催了,请您放心，资金已经退回给您了,0
158,我的减肥方法正确吗？,谁能给我搭配正确的减肥方法,0
159,电脑重装系统要多少钱？,手机屏幕破了，换个多少钱，贵吗,0
160,有什么电影可以介绍吗,有新电影介绍吗,1
161,天天酷跑怎么刷积分？,天天酷跑怎样刷积分？,1
162,马叉虫是什么意思！,马叉虫什么意思！,1
163,葫芦侠怎么使用,葫芦侠怎么使用？,1
164,求音乐：世界不是我们的家,求音乐：巴啦啦歌曲,0
165,茶杯犬难养吗？买一只大约多少钱？,茶杯犬合肥哪里有卖的？多少钱一只？,0
166,怎么样才能让自己变得有力气,怎么样才能让自己更强壮，更有力气,1
167,微信怎么设置头像,微信头像如何设置,1
168,帮忙取个名字。,帮忙取个名字，,1
169,冬季奥运会是从哪一年开始举办的？,冬季奥运会圣火采集仪式是从哪一年开始的？,0
170,苹果手机怎么买天天酷跑的钻石啊,苹果手机怎么买天天酷跑钻石,1
171,射精快是什么原因？,射精快是什么原因,1
172,求推荐好看的电影,求推荐好看的电影！,1
173,北京的丰台区是不是北京最乱的地方？,北京有什么地方买鸟啊?最好是东城的,0
174,娶什么样的女人做老婆最好？,什么样的女人做老婆最好？,1
175,竖式乘法验算。,竖式和乘法验算,1
176,哪个输入法好用？,输入法哪个好用？,1
177,为什么别人打不通我的手机,怎么让别人打不通我的手机,1
178,南方和北方哪个好,我的南方与北方,0
179,那里有植物大战僵尸卖,植物大战僵尸在哪里下？,0
180,什么呼应什么的成语,成语啥个相呼应,0
181,重生鸿蒙类小说,重生鸿蒙类小说、,1
182,怎样在网上买电影票,如何在网上买飞机票,1
183,眼见为实的上一句是什么,眼见为实的上一句是什么？,1
184,万圣节送什么礼物给女朋友,万圣节给女朋友送什么,1
185,苹果醋什么牌子好。,什么牌子的苹果醋好？,1
186,酷狗和天天动听哪个更好用？,酷狗和天天动听哪个好,1
187,亲爱滴是什么意思,称亲爱的是什么意思,1
188,淘宝子账号密码怎么修改？,淘宝子账号怎么添加在网页上,0
189,怎么修改百度知道的用户名？,百度知道要怎么改用户名？,1
190,想提高英语成绩,怎么才能提高羽毛球技术,0
191,伊利奶粉怎么积分？,伊利奶粉怎么积分,1
192,学霸，帮忙！,是学霸的帮忙,1
193,目前的智能安全防护体系已能够实时保护用户的账户和资金安全~,保险公司出具信用保证保险，对本次借款的应还本金和利息提供保险保障。,0
194,这是哪部动漫的？,这是哪部电影…看图…,0
195,您是什么提交的受理单,您订单类型选择理财订单,0
196,余额宝怎么办理？,怎样办理余额宝？,1
197,岑参是哪个朝代,岑参是哪个朝代的,1
